#1|lemma	meta|date	meta|lang_area	count
Kuchen	1687	obd	1
Schlafbettlein	1588	obd	1
Schildchen	1821	NA	1
Laugenschäfflein	1603	md	1
Nestlein	1532	md	1
Städtlein	1696	NA	1
Sterbestündlein	1588	obd	1
Hüllblättchen	1914	NA	1
Gewürznelklein	1828	NA	1
Feinchen	1870	NA	1
Maiblümlein	1735	NA	1
Drache|Drachen	1539	md	1
Drache|Drachen	1543	md	1
Kerblein	1557	md	1
verrauchen	1722	NA	1
Gläslein	1652	md	1
Gläslein	1696	NA	1
Labaschen	1914	NA	1
Knöpflein	1563	md	1
Knöpflein	1609	md	1
Knöpflein	1675	NA	1
Knöpflein	1662	obd	1
Büchlein	1539	md	1
Büchlein	1588	NA	1
Schifflein	1543	md	1
Alpenröschen	1870	NA	1
Mönchsköpflein	1532	md	1
Strohhelmlein	1539	md	1
Linzeichen	1532	md	1
Kalendermachen	1588	NA	1
Luftröhrlein	1662	obd	1
Johannisbeerlein	1735	NA	1
Schnittlein	1673	NA	1
Rädchen	1870	NA	1
Verrauchen	1722	NA	1
Zwitterblümchen	1764	NA	1
Gipfelein	1543	md	1
Gipfelein	1588	NA	1
Gipfelein	1673	NA	1
Dinglein	1532	md	1
Mutterregelein	1673	NA	1
Häuptlein	1609	md	1
Pflänzchen	1764	NA	1
Pflänzchen	1774	NA	1
Drachen	1550	NA	1
Leinensäcklein	1539	md	1
Leinensäcklein	1652	md	1
Goldblättlein	1673	NA	1
Saftblätchen	1769	NA	1
Tüpflein	1675	NA	1
Dölderlein	1639	obd	1
Korianderblättlein	1532	md	1
Tröpflein	1532	md	1
Tröpflein	1673	NA	1
Zierlichen	1870	NA	1
Öhrchen	1887	NA	1
Gartensachen	1687	obd	1
Majoranstöcklein	1532	md	1
Atemgebrechen	1482	obd	1
Ripplein	1539	md	1
Einweichen	1609	md	1
Saurachbeerlein	1735	NA	1
Schlaffkräutlein	1735	NA	1
Pestilenzischen	1532	md	1
Pestilenzischen	1735	NA	1
Zehenlein	1687	obd	1
Päcklein	1673	NA	1
Herzpochen	1675	NA	1
Mausöhrlein	1673	NA	1
Kornnägelein	1914	NA	1
Kindlein	1539	md	1
Kindlein	1557	md	1
Kindlein	1719	NA	1
Räuchlein	1532	md	1
Neuhochdeutschen	1870	NA	1
Dampfzäpflein	1828	NA	1
Küniglein	1609	md	1
Täschlein	1662	obd	1
Bächlein	1532	md	1
Bächlein	1550	NA	1
Bächlein	1639	obd	1
Fläschchen	1870	NA	1
Hüttlein	1532	md	1
